"Name","X","Y"
"Kinderyears Childcare & Development Centre",103.744271,1.402393
"Lorna Whiston Pre-School",103.79468,1.286135
"Lorna Whiston Pre-School",103.8728714,1.3032243
"Jessin Kindergarten",103.842747,1.361652
"Discovery Kidz Empire ",103.811606,1.3198129
"Iman Kindergarten (Tenagaville) ",103.907342,1.332189
"Moe Kindergarten @ Tampines",103.956521,1.361814
"Twinkle Kids Pre-School ",103.8913309,1.358775
"New Life Kindergarten",103.777305,1.444773
"Jhs Montessori Kindergarten",103.8270639,1.293086
"Tots Town Preschool @ Yishun",103.8288369,1.430859
"Mfc Kindergarten",103.841281,1.318051
"Iman Kindergarten (Yishun) ",103.836589,1.425757
"Iman Kindergarten (Cck) ",103.741814,1.392608
"Paper Scissors Stone Montessori Kindergarten (Bedok Resevoir Branch)",103.925831,1.336733
"Nissi Childcare @ Pasir Ris ",103.957429,1.369427
"Sunflower Preschool @ Clementi ",103.762359,1.313755
"Mulberry Learning Centre@Fusionopolis ",103.7899267,1.2981089
"Chee Hoon Kog Child Care Centre",103.927958,1.330503
"Pcf Sparkletots Preschool @ Kampong Chai Chee Blk 775 (Kn)",103.935776,1.33669
"Mindchamps Preschool @ River Valley ",103.8397729,1.292865
"Shaws Cdlc Preschool ",103.862519,1.342633
"The Little Skool-House International ",103.785698,1.443008
"Nativity Church Kindergarten",103.897954,1.374516
"Global Child Development Centre @ Tampines",103.9310882,1.3562865
"Pcf Sparkletots Preschool @ Sengkang South Blk 452 (Ds)",103.896523,1.378361
"Mlc (Bishan) ",103.8471719,1.3553694
"Schoolhouse By The Bay",103.7643584,1.3620543
"Yasmine @ Frankel Early Learning Centre",103.926027,1.325945
"St. James' Church Kindergarten (Gilstead)",103.838818,1.316698
"Global Tots @ Sembawang ",103.82465,1.43861
"Hi-5 Hol Preschool @ Bukit Timah ",103.782191,1.340652
"Kinderland Preschool",103.843951,1.287552
"Little Moppets Preschool @ Tampines ",103.958506,1.358303
"Pcf Sparkletots Preschool @ Sengkang Central Blk 206a (Ey)",103.896738,1.3864939
"Pcf Sparkletots Preschool @ Punggol East Blk 103 (Ey)",103.90121,1.382447
"Pcf Sparkletots Preschool @ Sengkang South Blk 535 (Ds)",103.890196,1.376549
"Pcf Sparkletots Preschool @ Paya Lebar Blk 125 (Kn)",103.886309,1.3523989
"Pcf Sparkletots Preschool @ Paya Lebar Blk 23 (Kn)",103.8907,1.3648579
"Pcf Sparkletots Preschool @ Tampines North Blk 483 (Kn)",103.952521,1.361307
"Pcf Sparkletots Preschool @ Tampines West Blk 140 (Ds)",103.943774,1.347674
"Pcf Sparkletots Preschool @ Changi - Simei Blk 119 (Kn)",103.95184,1.343846
"Pcf Sparkletots Preschool @ Eunos Blk 616 (Kn)",103.914911,1.33175
"Skool4kidz Centre",103.842429,1.415411
"Chen Li Kindergarten",103.880336,1.309935
"Newton Kindergarten",103.840682,1.314218
"Seventh-Day Adventist Conference (Singapore) - Adventist Schoolhouse",103.737996,1.335496
"K-Joy Educare ",103.798159,1.445962
"Cambridge@Fernvale ",103.877238,1.389043
"Tung Ling Kindergarten",103.906623,1.304314
"Sengkang Methodist Children Centre",103.886431,1.392229
"Calvary Pandan Kindergarten",103.74641,1.320844
"Bethesda (Bedok-Tampines) Kindergarten",103.934759,1.331242
"Choa Chu Kang Bible Centre Kindergarten",103.743903,1.394727
"The Ascension Kindergarten",103.866549,1.3300829
"Kidz Meadow Kindergarten",103.943689,1.383915
"Arise Kindergarten",103.775339,1.344545
"Dynamic World Montessori ",103.909291,1.308286
"The Children's Place ",103.809941,1.298568
"Little Seeds @ Noah's Ark",103.770293,1.383097
"Learning Vision @ Work ",103.964624,1.337692
"Pcf Sparkletots Preschool @ Pioneer Blk 654b (Kn)",103.697793,1.336142
"Pcf Sparkletots Preschool @ Bedok Blk 30 (Ds)",103.936141,1.323676
"Iyad Perdaus Child Development Centre",103.741309,1.382391
"St. Anne's Church Kindergarten",103.901796,1.391528
"Pink Tower Montessori Pte Ltd",103.905339,1.30646
"Kizroo Kindergarten ",103.793667,1.337685
"The Montessori Playroom Kindergarten",103.894009,1.371095
"The Little House (Montessori) Pte Ltd",103.793667,1.337685
"Little Seeds Preschool",103.935504,1.356254
"Star Learners @ Simei ",103.9549399,1.337358
"Tinkerland Private Limited",103.946464,1.334147
"Pcf Sparkletots Preschool @ Chong Pang Blk 277 (Cc)",103.836812,1.438009
"Maplebear Playworks Pte.ltd.",103.852673,1.320902
"My First Skool",103.699849,1.336115
"The Little Skool-House International ",103.7689989,1.301434
"Quality Centres ()",103.849582,1.282049
"Between Two Trees Preschool",103.78722,1.318147
"The Little Skool-House International ",103.825279,1.290776
"New Life Community Services",103.767117,1.3862429
"My First Skool",103.7075105,1.3407636
"Sunflower Preschool @ Hougang Cc (Private Limited)",103.892336,1.364614
"St. James' Church Kindergarten (Harding)",103.814189,1.304816
"Bright Kids School House ",103.910849,1.39585
"Carpe Diem Mi Preschool ",103.881112,1.374565
"Ar-Raudhah Mosque Kindergarten",103.756063,1.351424
"Pcf Sparkletots Preschool @ Toa Payoh Central Blk 157 (Kn)",103.8451879,1.332274
"Canossian Convent Kindergarten",103.764881,1.345075
"Pat's Schoolhouse ",103.883081,1.354759
"Shaws Cdlc @ Mountbatten ",103.899739,1.302944
"Little Skittles International Preschool",103.889083,1.2984929
"Jamiyah Kindergarten",103.87854,1.310387
"St. Francis Of Assisi Kindergarten (Boon Lay)",103.710976,1.348533
"Bright Kids @ Jurong West ",103.696171,1.340733
"Putra-Putri Kindergarten",103.772522,1.42878
"House On The Hill Montessori Pre-School",103.771139,1.291583
"Skool4kidz Centre",103.889018,1.3975247
"D'learning Sparks Montessori",103.9134569,1.325038
"Learning Vision @ Work ",103.7453915,1.3337448
"Childtime Care & Development Centre Pte.ltd.",103.8035138,1.4340771
