"Name","Street","District","X","Y"
"# 1 SUITES","LORONG 20 GEYLANG",14,103.8815945,1.312485592
"1 KING ALBERT PARK","KING ALBERT PARK",21,103.7803668,1.336627794
"18 WOODSVILLE","WOODSVILLE CLOSE",13,103.8682667,1.329660084
"26 NEWTON","NEWTON ROAD",11,103.8417675,1.315879078
"368 THOMSON","THOMSON ROAD",11,103.8423179,1.327233151
"38 I SUITES","IPOH LANE",15,103.8963723,1.311771078
"6 DERBYSHIRE","DERBYSHIRE ROAD",11,103.8458237,1.31576094
"76 SHENTON","SHENTON WAY",2,103.8455177,1.273533182
"8 @ MOUNT SOPHIA","MOUNT SOPHIA",9,103.8458731,1.301484665
"8@WOODLEIGH","WOODLEIGH CLOSE",13,103.8697628,1.336004692
"A TREASURE TROVE","PUNGGOL WALK",19,103.9001899,1.405344863
"AALTO","MEYER ROAD",15,103.8971535,1.298757558
"ADAM PARK CONDOMINIUM","ADAM ROAD",11,103.8128267,1.328195095
"ADRIA","DERBYSHIRE ROAD",11,103.8463373,1.316345667
"ALEX RESIDENCES","ALEXANDRA VIEW",3,103.8189488,1.290632258
"ALEXIS","ALEXANDRA ROAD",3,103.8073078,1.291081776
"ALLSWORTH PARK","HOLLAND ROAD",10,103.7806127,1.319973998
"ALTEZ","ENGGOR STREET",2,103.8444008,1.274504988
"AMARANDA GARDENS","SERANGOON AVENUE 3",19,103.8663775,1.349602505
"AMARYLLIS VILLE","NEWTON ROAD",11,103.8420207,1.314697603
"AMBER PARK","AMBER GARDENS",15,103.8996251,1.301114251
"AMBER RESIDENCES","AMBER ROAD",15,103.9011924,1.301480474
"AQUARIUS BY THE PARK","BEDOK RESERVOIR VIEW",16,103.9357962,1.33749438
"ARCHIPELAGO","BEDOK RESERVOIR ROAD",16,103.9205873,1.337623764
"ARDMORE II","ARDMORE PARK",10,103.8285169,1.309128368
"ARDMORE PARK","ARDMORE PARK",10,103.829418,1.310467371
"ASCENTIA SKY","ALEXANDRA VIEW",3,103.8169553,1.290888691
"ASPEN HEIGHTS","RIVER VALLEY ROAD",9,103.8399256,1.294593872
"ASTON MANSIONS","LORONG 42 GEYLANG",14,103.890533,1.313911325
"ASTOR GREEN","PINE GROVE",21,103.7767861,1.318401053
"ASTORIA PARK","LORONG MYDIN",14,103.9117979,1.3211347
"ASTRID MEADOWS","CORONATION ROAD WEST",10,103.7959239,1.319220478
"ATRIUM RESIDENCES","LORONG 28 GEYLANG",14,103.8858397,1.313400745
"AVILA GARDENS","FLORA ROAD",17,103.9650778,1.360223843
"AVON PARK","YOUNGBERG TERRACE",13,103.8701957,1.339607867
"AZALEA PARK CONDOMINIUM","FLORA ROAD",17,103.9632314,1.360169654
"BALLOTA PARK CONDOMINIUM","MARIAM WAY",17,103.9681841,1.358469418
"BANYAN CONDOMINIUM","CHWEE CHIAN ROAD",5,103.7887429,1.278366329
"BARTLEY RESIDENCES","LORONG HOW SUN",19,103.8811141,1.343343208
"BARTLEY RIDGE","MOUNT VERNON ROAD",13,103.8808556,1.340381065
"BAYSHORE PARK","BAYSHORE ROAD",16,103.9379286,1.3106804
"BEACON HEIGHTS","MAR THOMA ROAD",12,103.8623185,1.327038613
"BEDOK RESIDENCES","BEDOK NORTH DRIVE",16,103.9285622,1.324937609
"BELLE VUE RESIDENCES","OXLEY WALK",9,103.8421823,1.295456506
"BELMOND GREEN","BALMORAL ROAD",10,103.8315466,1.316015065
"BISHAN 8","BISHAN STREET 21",20,103.8470846,1.349530736
"BISHAN PARK CONDOMINIUM","SIN MING WALK",20,103.8320823,1.366070656
"BLISS@KOVAN","SIMON LANE",19,103.8832091,1.362883218
"BLOSSOMS @ WOODLEIGH","WOODLEIGH CLOSE",13,103.8686429,1.336569428
"BLUE HORIZON","WEST COAST CRESCENT",5,103.7651504,1.29754949
"BOATHOUSE RESIDENCES","UPPER SERANGOON VIEW",19,103.9033744,1.37565657
"BOTANIC GARDENS VIEW","TAMAN SERASI",10,103.8188371,1.30884523
"BOTANNIA","WEST COAST PARK",5,103.7544525,1.318390443
"BROOKVALE PARK","BROOKVALE WALK",21,103.7700524,1.32925443
"BUKIT REGENCY","UPPER BUKIT TIMAH VIEW",21,103.7705473,1.346739283
"BULLION PARK","LENTOR LOOP",26,103.8356185,1.392302188
"BURLINGTON SQUARE","BENCOOLEN STREET",7,103.8525559,1.302259407
"BUTTERWORTH 8","BUTTERWORTH LANE",15,103.8945831,1.312056851
"CAIRNHILL CREST","CAIRNHILL CIRCLE",9,103.8387819,1.305898327
"CAIRNHILL NINE","CAIRNHILL ROAD",9,103.837064,1.303644016
"CAIRNHILL PLAZA","CAIRNHILL ROAD",9,103.8369085,1.306900947
"CANBERRA RESIDENCES","CANBERRA DRIVE",27,103.825463,1.444515106
"CAPE ROYALE","COVE WAY",4,103.8400162,1.24134187
"CARABELLE","WEST COAST WAY",5,103.7562249,1.317920958
"CARDIFF RESIDENCE","CARDIFF GROVE",19,103.866231,1.35537517
"CARIBBEAN AT KEPPEL BAY","KEPPEL BAY DRIVE",4,103.8148576,1.267126261
"CARISSA PARK CONDOMINIUM","FLORA DRIVE",17,103.9643377,1.35936291
"CASA CAMBIO","LIM TUA TOW ROAD",19,103.8764868,1.353844891
"CASA FORTUNA","AH HOOD ROAD",12,103.8482468,1.328446359
"CASA MERAH","TANAH MERAH KECHIL AVENUE",16,103.9462412,1.329655046
"CASA SARINA","LORONG SARINA",14,103.9073198,1.320749613
"CASABLANCA","ROSEWOOD DRIVE",25,103.7856251,1.430113747
"CASAFINA","BEDOK SOUTH AVENUE 1",16,103.9339068,1.314603012
"CASHEW HEIGHTS CONDOMINIUM","CASHEW ROAD",23,103.7675867,1.373991181
"CASPIAN","LAKESIDE DRIVE",22,103.7181188,1.342607945
"CASTLE GREEN","YIO CHU KANG ROAD",26,103.8403196,1.386033853
"CASUARINA COVE","TANJONG RHU ROAD",15,103.8742698,1.297497935
"CAVENAGH GARDENS","CAVENAGH ROAD",9,103.8410694,1.304770204
"CAVENDISH PARK","PINE GROVE",21,103.7759024,1.316731289
"CENTRAL GREEN CONDOMINIUM","JALAN MEMBINA",3,103.8279438,1.284575963
"CENTRAL GROVE","GEYLANG EAST AVENUE 1",14,103.8846282,1.316124041
"CENTRO RESIDENCES","ANG MO KIO AVENUE 8",20,103.8484455,1.370396226
