Name,Quarter,Median
# 1 SUITES,2017Q1,3.95
1 KING ALBERT PARK,2016Q3,2.5
1 KING ALBERT PARK,2016Q2,2.89
18 WOODSVILLE,2017Q4,3.62
18 WOODSVILLE,2017Q3,3.96
18 WOODSVILLE,2017Q2,3.55
18 WOODSVILLE,2017Q1,3.94
18 WOODSVILLE,2016Q4,4.04
18 WOODSVILLE,2016Q3,4.04
18 WOODSVILLE,2016Q1,3.72
18 WOODSVILLE,2015Q4,4.44
18 WOODSVILLE,2015Q3,4.28
26 NEWTON,2017Q4,5.12
26 NEWTON,2017Q3,5.28
26 NEWTON,2016Q3,5.28
368 THOMSON,2017Q3,3.56
368 THOMSON,2017Q2,3.5
368 THOMSON,2017Q1,3.56
368 THOMSON,2016Q4,3.56
368 THOMSON,2016Q3,3.84
368 THOMSON,2016Q2,3.84
368 THOMSON,2016Q1,3.84
368 THOMSON,2015Q3,4.05
38 I SUITES,2017Q4,4
38 I SUITES,2017Q3,3.98
38 I SUITES,2017Q2,3.97
38 I SUITES,2017Q1,3.95
38 I SUITES,2016Q4,3.95
38 I SUITES,2016Q3,4.13
38 I SUITES,2016Q2,4.54
38 I SUITES,2016Q1,4.13
38 I SUITES,2015Q4,4.54
38 I SUITES,2015Q3,4.28
38 I SUITES,2015Q1,4.05
6 DERBYSHIRE,2017Q4,4.45
6 DERBYSHIRE,2017Q3,4.45
76 SHENTON,2017Q4,5.83
76 SHENTON,2017Q3,5.43
76 SHENTON,2017Q2,5.41
76 SHENTON,2017Q1,5.29
76 SHENTON,2016Q4,5.51
76 SHENTON,2016Q3,5.29
76 SHENTON,2016Q2,5.74
76 SHENTON,2016Q1,5.57
76 SHENTON,2015Q4,5.92
76 SHENTON,2015Q3,5.91
76 SHENTON,2015Q2,5.61
76 SHENTON,2015Q1,5.24
8 @ MOUNT SOPHIA,2017Q4,4.88
8 @ MOUNT SOPHIA,2017Q3,5.04
8 @ MOUNT SOPHIA,2017Q2,5.15
8 @ MOUNT SOPHIA,2017Q1,4.65
8 @ MOUNT SOPHIA,2016Q4,5.16
8 @ MOUNT SOPHIA,2016Q3,5.34
8 @ MOUNT SOPHIA,2016Q2,5.35
8 @ MOUNT SOPHIA,2016Q1,5.08
8 @ MOUNT SOPHIA,2015Q4,5.21
8 @ MOUNT SOPHIA,2015Q3,5.39
8 @ MOUNT SOPHIA,2015Q2,5.6
8 @ MOUNT SOPHIA,2015Q1,4.98
8@WOODLEIGH,2017Q4,3.38
8@WOODLEIGH,2017Q3,3.25
8@WOODLEIGH,2017Q2,3.41
8@WOODLEIGH,2017Q1,3.36
8@WOODLEIGH,2016Q4,3.47
8@WOODLEIGH,2016Q3,3.48
8@WOODLEIGH,2016Q2,3.53
8@WOODLEIGH,2016Q1,3.55
8@WOODLEIGH,2015Q4,3.72
8@WOODLEIGH,2015Q3,3.81
8@WOODLEIGH,2015Q2,3.67
8@WOODLEIGH,2015Q1,3.69
A TREASURE TROVE,2017Q4,2.51
A TREASURE TROVE,2017Q3,2.57
A TREASURE TROVE,2017Q2,2.51
A TREASURE TROVE,2017Q1,2.58
A TREASURE TROVE,2016Q4,2.51
A TREASURE TROVE,2016Q3,2.68
A TREASURE TROVE,2016Q2,2.58
A TREASURE TROVE,2016Q1,2.51
A TREASURE TROVE,2015Q4,2.51
A TREASURE TROVE,2015Q3,2.78
AALTO,2017Q3,3.4
AALTO,2017Q2,3.33
AALTO,2017Q1,3.35
AALTO,2016Q3,3.48
AALTO,2016Q2,3.6
AALTO,2016Q1,3.66
AALTO,2015Q3,3.6
AALTO,2015Q2,3.5
AALTO,2015Q1,3.92
ADAM PARK CONDOMINIUM,2016Q3,3.6
ADRIA,2017Q3,4.3
ADRIA,2017Q1,4.57
ADRIA,2016Q3,4.47
ADRIA,2016Q2,5.17
ADRIA,2015Q4,5.13
ADRIA,2015Q3,5
ADRIA,2015Q2,4.96
ALEX RESIDENCES,2017Q4,4.86
ALEXIS,2017Q4,4.51
ALEXIS,2017Q3,5.02
ALEXIS,2017Q2,4.69
ALEXIS,2017Q1,5.24
ALEXIS,2016Q4,5.28
ALEXIS,2016Q3,5.2
ALEXIS,2016Q2,5.42
ALEXIS,2016Q1,5.72
ALEXIS,2015Q4,5.36
ALEXIS,2015Q3,5.94
ALEXIS,2015Q2,5.21
ALEXIS,2015Q1,5.69
ALLSWORTH PARK,2017Q3,2.72
ALLSWORTH PARK,2016Q3,2.59
ALLSWORTH PARK,2016Q2,2.52
ALLSWORTH PARK,2015Q3,3
ALLSWORTH PARK,2015Q1,3.03
ALTEZ,2017Q4,6.51
ALTEZ,2017Q3,6.42
ALTEZ,2017Q2,6.27
ALTEZ,2017Q1,6.19
ALTEZ,2016Q4,6.33
ALTEZ,2016Q3,6.47
ALTEZ,2016Q2,6.34
ALTEZ,2016Q1,6.64
ALTEZ,2015Q4,6.76
ALTEZ,2015Q3,6.78
ALTEZ,2015Q2,6.62
ALTEZ,2015Q1,6.19
AMARANDA GARDENS,2017Q3,2.98
AMARANDA GARDENS,2016Q4,2.93
AMARANDA GARDENS,2016Q3,2.95
AMARANDA GARDENS,2015Q4,3.34
AMARANDA GARDENS,2015Q3,3.28
AMARANDA GARDENS,2015Q1,3.25
AMARYLLIS VILLE,2017Q4,4.38
AMARYLLIS VILLE,2017Q3,4.24
AMARYLLIS VILLE,2017Q2,4.26
AMARYLLIS VILLE,2017Q1,4.18
AMARYLLIS VILLE,2016Q4,4.65
AMARYLLIS VILLE,2016Q3,4.51
AMARYLLIS VILLE,2016Q2,4.37
AMARYLLIS VILLE,2016Q1,4.19
AMARYLLIS VILLE,2015Q4,4.62
AMARYLLIS VILLE,2015Q3,4.59
AMARYLLIS VILLE,2015Q2,4.75
AMARYLLIS VILLE,2015Q1,4.48
AMBER PARK,2017Q4,1.93
AMBER PARK,2017Q3,2.32
AMBER PARK,2017Q1,2.27
AMBER PARK,2016Q4,2.44
AMBER PARK,2015Q4,2.57
AMBER PARK,2015Q3,2.42
AMBER PARK,2015Q2,2.54
AMBER RESIDENCES,2017Q3,3.44
AMBER RESIDENCES,2016Q4,3.28
AMBER RESIDENCES,2015Q3,3.61
AQUARIUS BY THE PARK,2017Q4,2.46
AQUARIUS BY THE PARK,2017Q3,2.59
AQUARIUS BY THE PARK,2017Q2,2.42
AQUARIUS BY THE PARK,2017Q1,2.52
AQUARIUS BY THE PARK,2016Q4,2.42
AQUARIUS BY THE PARK,2016Q3,2.55
AQUARIUS BY THE PARK,2016Q2,2.57
AQUARIUS BY THE PARK,2016Q1,2.84
AQUARIUS BY THE PARK,2015Q4,2.62
AQUARIUS BY THE PARK,2015Q3,2.84
AQUARIUS BY THE PARK,2015Q2,2.8
AQUARIUS BY THE PARK,2015Q1,2.92
ARCHIPELAGO,2017Q4,2.96
ARCHIPELAGO,2017Q3,2.74
ARCHIPELAGO,2017Q2,2.82
ARCHIPELAGO,2017Q1,2.94
ARCHIPELAGO,2016Q4,2.91
ARCHIPELAGO,2016Q3,2.62
ARCHIPELAGO,2016Q2,2.78
ARCHIPELAGO,2016Q1,3.02
ARDMORE II,2017Q4,4.45
ARDMORE II,2017Q2,4.52
ARDMORE II,2016Q3,4.5
ARDMORE II,2015Q3,4.89
ARDMORE II,2015Q2,4.94
ARDMORE II,2015Q1,4.94
ARDMORE PARK,2017Q4,4.88
ARDMORE PARK,2017Q3,5.06
ARDMORE PARK,2017Q2,5.24
ARDMORE PARK,2017Q1,5.06
ARDMORE PARK,2016Q4,5.11
ARDMORE PARK,2016Q3,5.17
ARDMORE PARK,2016Q2,5.17
ARDMORE PARK,2016Q1,5.42
ARDMORE PARK,2015Q4,5.21
ARDMORE PARK,2015Q3,5.42
ARDMORE PARK,2015Q2,5.33
ARDMORE PARK,2015Q1,5.58
ASCENTIA SKY,2017Q4,3.86
ASCENTIA SKY,2017Q3,3.73
ASCENTIA SKY,2017Q2,3.9
ASCENTIA SKY,2017Q1,3.87
ASCENTIA SKY,2016Q4,4.2
ASCENTIA SKY,2016Q3,4.43
ASCENTIA SKY,2016Q2,3.9
ASCENTIA SKY,2016Q1,3.93
ASCENTIA SKY,2015Q4,4.15
ASCENTIA SKY,2015Q3,4.54
ASCENTIA SKY,2015Q2,4.41
ASCENTIA SKY,2015Q1,4.07
ASPEN HEIGHTS,2017Q4,3.23
ASPEN HEIGHTS,2017Q3,3.4
ASPEN HEIGHTS,2017Q2,3.29
ASPEN HEIGHTS,2017Q1,3.31
ASPEN HEIGHTS,2016Q4,3.4
ASPEN HEIGHTS,2016Q3,3.47
ASPEN HEIGHTS,2016Q2,3.4
ASPEN HEIGHTS,2016Q1,3.4
ASPEN HEIGHTS,2015Q4,3.4
ASPEN HEIGHTS,2015Q3,3.62
ASPEN HEIGHTS,2015Q2,3.77
ASPEN HEIGHTS,2015Q1,3.79
ASTON MANSIONS,2016Q3,2.77
ASTON MANSIONS,2015Q4,2.84
