"Name","X","Y"
"Admiralty Primary School",103.799693,1.442888
"Admiralty Secondary School",103.802398,1.445881
"Ahmad Ibrahim Primary School",103.832949,1.433543
"Ahmad Ibrahim Secondary School",103.829889,1.436663
"Ai Tong School",103.832615,1.360415
"Alexandra Primary School",103.8220886,1.29273
"Anchor Green Primary School",103.887283,1.390652
"Anderson Primary School",103.841225,1.384692
"Anderson Secondary School",103.851456,1.374262
"Anderson Serangoon Junior College",103.8457619,1.378043
"Ang Mo Kio Primary School",103.839266,1.368803
"Ang Mo Kio Secondary School",103.8426,1.367353
"Anglican High School",103.941937,1.330302
"Anglo-Chinese Junior College",103.785253,1.303305
"Anglo-Chinese School (Barker Road)",103.835757,1.319611
"Anglo-Chinese School (Independent)",103.780078,1.302189
"Anglo-Chinese School (Junior)",103.841372,1.3094539
"Anglo-Chinese School (Primary)",103.835345,1.318735
"Angsana Primary School",103.951859,1.348251
"Assumption English School",103.767475,1.369148
"Assumption Pathway School",103.7667529,1.3705271
"Bartley Secondary School",103.882831,1.340275
"Beacon Primary School",103.77377,1.384235
"Beatty Secondary School",103.851956,1.34154
"Bedok Green Primary School",103.937761,1.323989
"Bedok Green Secondary School",103.935512,1.333844
"Bedok South Secondary School",103.950977,1.3248089
"Bedok View Secondary School",103.9439189,1.324312
"Bendemeer Primary School",103.865365,1.322197
"Bendemeer Secondary School",103.861002,1.32432
"Blangah Rise Primary School",103.808522,1.276261
"Boon Lay Garden Primary School",103.712983,1.34287
"Boon Lay Secondary School",103.701945,1.342172
"Bowen Secondary School",103.877649,1.370117
"Broadrick Secondary School",103.886698,1.307522
"Bukit Batok Secondary School",103.740867,1.348506
"Bukit Merah Secondary School",103.81344,1.285583
"Bukit Panjang Govt. High School",103.738424,1.38166
"Bukit Panjang Primary School",103.769259,1.37293
"Bukit Timah Primary School",103.766768,1.337385
"Bukit View Primary School",103.753862,1.346179
"Bukit View Secondary School",103.752298,1.34572
"Canberra Primary School",103.81587,1.450666
"Canberra Secondary School",103.814663,1.453794
"Canossa Catholic Primary School",103.882253,1.326166
"Cantonment Primary School",103.84,1.27562
"Casuarina Primary School",103.957724,1.3724209
"Catholic High School",103.846228,1.355193
"Catholic Junior College",103.83554,1.324641
"Cedar Girls' Secondary School",103.874242,1.333751
"Cedar Primary School",103.876669,1.335578
"Changkat Changi Secondary School",103.952619,1.340939
"Changkat Primary School",103.951801,1.340164
"Chij (Katong) Primary",103.910846,1.306931
"Chij (Kellock)",103.827996,1.2744819
"Chij Katong Convent",103.917751,1.306597
"Chij Our Lady Of Good Counsel",103.863998,1.35732
"Chij Our Lady Of The Nativity",103.898088,1.372971
"Chij Our Lady Queen Of Peace",103.767594,1.366297
"Chij Primary (Toa Payoh)",103.841908,1.333107
"Chij Secondary (Toa Payoh)",103.842993,1.332007
"Chij St. Joseph's Convent",103.902461,1.391747
"Chij St. Nicholas Girls' School",103.834301,1.373744
"Chij St. Theresa's Convent",103.822486,1.276121
"Chongfu School",103.839285,1.438563
"Chongzheng Primary School",103.951438,1.350835
"Christ Church Secondary School",103.793419,1.426395
"Chua Chu Kang Primary School",103.7417229,1.378056
"Chua Chu Kang Secondary School",103.7515839,1.383169
"Chung Cheng High School (Main)",103.890726,1.305368
"Chung Cheng High School (Yishun)",103.837311,1.418737
"Clementi Primary School",103.763253,1.315403
"Clementi Town Secondary School",103.762094,1.315501
"Commonwealth Secondary School",103.745652,1.3192
"Compassvale Primary School",103.897901,1.39418
"Compassvale Secondary School",103.899711,1.396086
"Concord Primary School",103.73625,1.380026
"Corporation Primary School",103.707576,1.351499
"Crescent Girls' School",103.817566,1.293338
"Crest Secondary School",103.742462,1.343466
"Damai Primary School",103.921064,1.335847
"Damai Secondary School",103.927061,1.336405
"Dazhong Primary School",103.7485279,1.359
"De La Salle School",103.743605,1.394304
"Deyi Secondary School",103.852329,1.365893
"Dunearn Secondary School",103.74518,1.363886
"Dunman High School",103.882979,1.29836
"Dunman Secondary School",103.956206,1.360673
"East Spring Primary School",103.961799,1.35349
"East Spring Secondary School",103.960586,1.3559969
"Edgefield Primary School",103.907469,1.399887
"Edgefield Secondary School",103.902302,1.399882
"Elias Park Primary School",103.945633,1.374697
"Endeavour Primary School",103.817423,1.454201
"Eunoia Junior College",103.8394527,1.3626165
"Eunos Primary School",103.904727,1.324223
"Evergreen Primary School",103.795038,1.444082
"Evergreen Secondary School",103.794011,1.441283
"Fairfield Methodist School (Primary)",103.785809,1.3007439
"Fairfield Methodist School (Secondary)",103.78446,1.301925
"Fajar Secondary School",103.764493,1.375887
"Farrer Park Primary School",103.850992,1.312139
"Fengshan Primary School",103.9319019,1.329819
"Fern Green Primary School",103.8797996,1.3977267
"Fernvale Primary School",103.873919,1.389948
"First Toa Payoh Primary School",103.855651,1.340145
"Frontier Primary School",103.6997742,1.336843
"Fuchun Primary School",103.778088,1.4302
"Fuchun Secondary School",103.777326,1.430948
"Fuhua Primary School",103.736118,1.336524
"Fuhua Secondary School",103.726756,1.346902
"Gan Eng Seng Primary School",103.815421,1.285631
"Gan Eng Seng School",103.823727,1.289088
"Geylang Methodist School (Primary)",103.88336,1.3182069
"Geylang Methodist School (Secondary)",103.8829,1.318124
"Gongshang Primary School",103.948893,1.357339
"Greendale Primary School",103.912588,1.396421
"Greendale Secondary School",103.9117179,1.396986
"Greenridge Primary School",103.767546,1.385851
"Greenridge Secondary School",103.773836,1.38206
"Greenwood Primary School",103.804609,1.43985
"Guangyang Primary School",103.849681,1.346017
"Guangyang Secondary School",103.850566,1.344693
"Hai Sing Catholic School",103.954463,1.374513
"Haig Girls' School",103.902621,1.311559
"Henry Park Primary School",103.784132,1.3168709
"Hillgrove Secondary School",103.753048,1.352752
"Holy Innocents' High School",103.896018,1.371204
"Holy Innocents' Primary School",103.893711,1.366573
"Hong Wen School",103.857647,1.321704
"Horizon Primary School",103.913058,1.400025
"Hougang Primary School",103.881046,1.37734
"Hougang Secondary School",103.88253,1.377661
"Hua Yi Secondary School",103.72158,1.351473
"Huamin Primary School",103.843853,1.426943
"Hwa Chong Institution",103.8059,1.324644
"Innova Primary School",103.790631,1.428957
"Jiemin Primary School",103.830498,1.427671
"Jing Shan Primary School",103.851863,1.3714789
"Junyuan Primary School",103.940012,1.347973
"Junyuan Secondary School",103.933573,1.353327
"Jurong Pioneer Junior College",103.753951,1.384627
"Jurong Primary School",103.732992,1.348679
"Jurong Secondary School",103.724282,1.330365
"Jurong West Primary School",103.698854,1.339037
"Jurong West Secondary School",103.702086,1.335276
"Jurongville Secondary School",103.729161,1.351493
"Juying Primary School",103.688061,1.33837
"Juying Secondary School",103.687205,1.338205
"Keming Primary School",103.756511,1.344781
"Kent Ridge Secondary School",103.765385,1.301511
"Kheng Cheng School",103.847796,1.337666
"Kong Hwa School",103.888386,1.3112919
"Kranji Primary School",103.7477849,1.393694
"Kranji Secondary School",103.7416609,1.390468
"Kuo Chuan Presbyterian Primary School",103.854727,1.349116
"Kuo Chuan Presbyterian Secondary School",103.854907,1.350135
"Lakeside Primary School",103.717603,1.338216
"Lianhua Primary School",103.754202,1.354143
"Loyang View Secondary School",103.956826,1.366972
"Maha Bodhi School",103.901381,1.329011
"Manjusri Secondary School",103.901803,1.327215
"Maris Stella High School",103.8782839,1.341737
"Marsiling Primary School",103.773663,1.433827
"Marsiling Secondary School",103.775995,1.436669
"Marymount Convent School",103.839485,1.340206
"Mayflower Primary School",103.835797,1.37619
"Mayflower Secondary School",103.835438,1.368331
"Mee Toh School",103.90904,1.394828
"Meridian Primary School",103.935197,1.375781
"Meridian Secondary School",103.949261,1.3671009
