"Name","X","Y"
"IKEA",103.9324941,1.374026578
"Mustafa Centre",103.8552998,1.310080853
"Hougang Mall",103.8937239,1.372436783
"City Square Mall",103.8567808,1.31147745
"SAFRA",103.8410164,1.423313196
"The Central",103.846558,1.288838562
"Pacific Plaza",103.8321264,1.306537218
"Velocity @ Novena Square",103.8441914,1.319295425
"Old Airport Road 51 Food Centre & Shopping Mall",103.8858333,1.308251577
"AMK Hub",103.8484679,1.369223214
"100 AM",103.8434707,1.274588218
"Paragon",103.8358442,1.303949364
"Marina Bay Sands Shoppes",103.8589822,1.284234913
"Queensway Shopping Centre",103.8033911,1.287617926
"Millenia Walk ",103.8599002,1.292046053
"Causeway Point",103.78601,1.436088677
"Liang Court",103.8446689,1.291490199
"Takashimaya Shopping Centre",103.8347498,1.302308817
"Great World City",103.831928,1.293154929
"White Sand Mall",103.9497157,1.372449817
"Orchard Central",103.8396924,1.300723504
"Compass Point",103.8944528,1.382910291
"Boon Lay Shopping Centre",103.7124728,1.346373764
"Plaza Singapura ",103.8450673,1.300820718
"Marina Bay Link Mall",103.8534701,1.280467943
"Tampines 1",103.9451412,1.354323212
"Wisma Atria",103.8331896,1.303698907
"Esplanade Mall",103.8556658,1.289509562
"Big Box Singapore ",103.7448792,1.331832698
"Jurong Point",103.706685,1.339452004
"Bras Basah Complex",103.8539072,1.296794864
"Marine & Pet Image",103.905078,1.303754534
"Teck Whye Shopping Centre",103.7524646,1.380047726
"JCube",103.7401913,1.333237851
"The Clementi Mall",103.7645702,1.315496754
"Lot One",103.7452389,1.385069923
"Westgate",103.7428701,1.33428313
"313@Somerset",103.8382466,1.301006569
"Harbourfront Centre ",103.820219,1.263796829
"Tanglin Mall",103.8238835,1.304853421
"Wheelock Place",103.8307142,1.30453636
"CityLink Mall",103.854663,1.292378607
"HDB Hub",103.8470778,1.33218812
"Palais Renaissance ",103.829588,1.306654845
"Rivervale Plaza",103.9018496,1.385371516
"Shaw Leisure Gallery",103.8569693,1.296121301
"Square 2",103.8443315,1.320612586
"Taman Jurong Shopping Centre",103.720462,1.334844875
"Tiong Bahru Plaza",103.8271583,1.2864712
"Forum The Shopping Mall",103.8286755,1.306125226
"Mall Square 2",103.8566262,1.31138865
"The Cathay",103.847832,1.299202264
"Ngee Ann City",103.8346761,1.302424172
"Ang Mo Kio (AMK) Hub",103.8474107,1.388932514
"Balestier Hill Shopping Centre",103.8437095,1.326124169
"Beauty World Plaza",103.7763041,1.341787998
"Bedok Shopping Complex",103.9478224,1.331498066
"Bishan North Shopping Mall",103.8446747,1.357794874
"Bugis Point",103.856139,1.298844436
"Bukit Batok West Shopping Centre",103.7501699,1.366768106
"Bukit Timah Shopping Centre",103.7758542,1.343320789
"Capital Square ",103.8486031,1.283761538
"Cathay Cineleisure Orchard",103.8364448,1.301497434
"Change Alley",103.8525446,1.284122711
"Chinatown Complex",103.8431776,1.282235211
"Clementi Arcade",103.7675155,1.323552869
"Clementi Shopping Centre",103.7713506,1.314278602
"Clifford Centre",103.8521282,1.283856984
"Concorde Hotel & Shopping Mall",103.8422285,1.300619223
"Depot Heights Shopping Centre",103.8101426,1.280864939
"Eastlink Mall",103.9443186,1.354329697
"Elias Mall",103.9423643,1.377828766
"Fajar Shopping Centre",103.7710296,1.384005825
"Far East Shopping Centre",103.829985,1.305506286
"Goldhill Shopping Centre",103.843231,1.318546831
"Greenridge Shopping Centre",103.7662355,1.385417687
"Holland Road Shopping Centre",103.7953504,1.310255419
"Hougang Green Shopping Mall",103.8878471,1.379317835
"ICB Shopping Centre",103.8777887,1.35458139
"Icon Village",103.84432,1.274709698
"International Plaza",103.8458978,1.276012226
"Joo Chiat Complex",103.8990541,1.315521868
"Katong Shopping Centre",103.90104,1.303820402
"Keat Hong Shopping Centre",103.7443832,1.377439635
"Kembangan Plaza",103.9126471,1.320375111
"Limbang Shopping Centre",103.743191,1.392242406
"Midpoint Orchard",103.8386606,1.301783782
"Orchard Building",103.8373281,1.301403322
"Orchard Shopping Centre",103.8378883,1.301484998
"Pasir Ris West Plaza",103.9362076,1.379767543
"Pioneer Mall",103.6970201,1.341591087
"Sim Lim Tower",103.85464,1.30381133
"Singapore Shopping Centre",103.8441384,1.298132148
"Stamford Court",103.8500069,1.293916535
"Stamford House",103.8508213,1.294091467
"Tampines Plaza",103.9426883,1.353166375
"Tanjong Katong Complex",103.8942894,1.316544676
"Tanjong Pagar Plaza",103.8429141,1.277274846
"The Adelphi",103.8510443,1.291156839
"The Odeon Katong",103.9018983,1.304635597
"Upper Serangoon Shopping Centre",103.8788284,1.353480883
"Woodlands North Plaza",103.7908258,1.442845701
"Woodlands Point",103.8027211,1.434758403
"Yew Tee Point",103.7466621,1.397057415
"Yew Tee Square",103.7470848,1.398047362
"Leisure Park Kallang",103.8764492,1.302337453
"The Grandstand",103.7929288,1.336627501
"Bukit Panjang Plaza ",103.7639939,1.380542456
"Central Mall ",103.8426771,1.288566641
"River Valley Shopping Centre ",103.8269408,1.293017851
"Little India Arcade ",103.8519128,1.305304384
